ra,dec,Source_Name,Fx(uJy),SIMBAD_Name,Final_Type
266.2583333,-32.22722222, 1741-322       ,2,OGLE BLG-ECL-89800,EB*
266.2541667,-28.90166667, 1741.9-2853    ,7,2XMM J174502.1-285450,LMXB
266.3708333,-32.69416667, 1742-326       ,2,GPS 1742-326,LMXB
266.3608333,-28.98333333, 1742.2-2857    ,0.1,1E 1742.2-2857,LMXB
266.4041667,-29.45, 1742-294       ,45,[CFS78] GC X-2,LMXB
266.4041667,-29.01861111, 1742-289       ,9,SSTGC 517174,LPV*
266.4195833,-29.00305556, 1742.5-2859    ,1,SWIFT J174540.7-290015,LMXB
266.42875,-28.78138889, 1742.5-2845    ,0.15,1E 1742.5-2845,LMXB
266.4704167,-29.05611111, 1742.7-2902    ,0.2,1E 1742.7-2902,LMXB
266.5,-28.91361111, 1742.8-2853    ,0.2,2MASS J17455993-2854498,LMXB
266.5204167,-28.88694444, 1742.9-2852    ,0.2,1E 1742.9-2852,LMXB
266.5258333,-29.51833333, 1742-294       ,60,2E  3943,LMXB
266.5404167,-28.85111111, 1742.9-2849    ,0.2,INTREF   837,LMXB
266.58,-28.73527778, 1743.1-2843    ,0.5,SSTGC 631389,LPV*
266.58125,-28.89527778, 1743.1-2852    ,0.2,SSTGC 631062,LPV*
266.6958333,-28.89472222, 1743-288       ,1,OGLE BLG-ECL-101453,EB*
266.8570833,-29.99527778, 1744-299       ,6,AX J1747.4-3000,LMXB
266.1379167,-28.74138889,J1744-28        ,4700,3FHL J1746.2-2852,LMXB
266.8579167,-30.04194444, 1744-300       ,4,1RXS J174725.6-300241,LMXB
266.9833333,-26.56361111, 1744-265       ,400,X Sgr X-1,LMXB
267.0558333,-36.13138889, 1744-361       ,25,[KRL2007b] 281,LMXB
266.4,-29.02611111,J1745.6-2901    ,0.4,[SKM2002] 27,LMXB
267.2333333,-24.89444444, 1745-248       ,0.1,[ZGV2011] 6,LMXB
267.2229167,-20.36722222, 1745-203       ,0.1,[ZGV2011] 3,LMXB
267.4608333,-33.19861111, 1746-331       ,27,RX J1749.8-3312,LMXB
267.5145833,-32.42861111, 1746.7-3224    ,0.1,2E 1746.7-3225,LMXB
267.5529167,-37.05222222, 1746-370       ,32,4U 1746-371,LMXB
267.6070833,-21.4225, 1747-214       ,70,EXO 1747-214,LMXB
267.6895833,-31.29222222, 1747-313       ,1.5,[ZGV2011] 5,LMXB
267.0210833,-28.47383333,J1748-288       ,640,AX J1748.0-2829,LMXB
267.2225,-20.36194444,J1748.9-2021    ,30,4U 1745-203,LMXB
268.0666667,-28.50611111, 1749-285       ,60,1RXS J175229.0-282951,LMXB
267.6,-29.03833333,J1750.8-2900    ,130,SAX J1750.8-2900,LMXB
268.1,-31.62833333,J1752.3-3138    ,740,SAX J1752.3-3138,LMXB
269.6666667,-33.8075, 1755-338       ,100,V* V4134 Sgr,LMXB
