Date_Observed,ra,dec,SIMBAD_Name,Source_Type
02-05-2019,270.384579,-20.52889,X Sgr X-3,LMXB
04-05-2019,262.991671,-33.83528,NAME Gri 1,GlCl
06-05-2019,264.742921,-44.45,V* V926 Sco,LMXB
07-05-2019,220.530833,35.439722,Mrk  478,Seyfert_1
08-05-2019,207.0535,-63.274611,MAXI J1348-630,Candidate_HMXB
09-05-2019,275.091167,7.185639,MAXI J1820+070,LMXB
09-05-2019,332.880729,18.092822,BD+17  4708,SB*
09-05-2019,341.835079,-65.05872,IC 5250,IG
10-05-2019,275.091417,7.1853,MAXI J1820+070,LMXB
10-05-2019,194.285917,28.362417,[YKK2016] 684,LSB_G
11-05-2019,185.0625,25.5,0,0
12-05-2019,189.136292,11.258,NGC  4567,GinPair
12-05-2019,287.442079,-63.85753,NGC  6744,GinGroup
15-05-2019,288.798125,10.945767,Granat 1915+105,HMXB
16-05-2019,141.513721,12.73434,Mrk  705,Seyfert_1
16-05-2019,310.307792,-38.19342,ESO 341-4,IG
16-05-2019,305.749021,-44.27153,LEDA   64576,Galaxy
17-05-2019,304.23875,-70.75833,[BHK2005] 275,GlCl
17-05-2019,186.453592,33.54693,[BKD2008] WR 469,PartofG
18-05-2019,185.0625,25.5,0,0
19-05-2019,287.442079,-63.85753,NGC  6744,GinGroup
19-05-2019,274.656667,-52.215778,NGC  6584,GlCl
19-05-2019,332.880708,18.092833,BD+17  4708,SB*
19-05-2019,270.384579,-20.52889,X Sgr X-3,LMXB
20-05-2019,341.835079,-65.05872,IC 5250,IG
20-05-2019,197.175,44.098333,KISS F1308-3035,EmG
20-05-2019,211.180108,54.89263,NGC  5473,GinGroup
20-05-2019,201.245833,-43.126111,[WRW2015] 1618,PN?
23-05-2019,12.08,85.223917,Cl* NGC  188    DGV     702,Star
23-05-2019,237.391917,70.348089,0,0
21-06-2019,237.391917,70.348089,0,0
23-06-2019,236.5125,-37.786417,NGC  5986,GlCl
26-06-2019,288.798121,10.945766,Granat 1915+105,HMXB
27-06-2019,329.716938,-30.225588,QSO B2155-304,BLLac
28-06-2019,220.530833,35.439722,Mrk  478,Seyfert_1
29-06-2019,251.44875,-45.611111,4U 1642-45,LMXB
29-06-2019,359.782958,-30.627969,QSO B2356-309,BLLac
03-07-2019,265.990969,19.585838,QSO B1741+196,BLLac
04-07-2019,255.203683,-41.655961,NAME OAO 1657-41,HMXB
