ra,dec,Source_Name,SIMBAD_Name,Final_Type,Astrosat_Flag
271.7091667,-24.5875, 1803-245       ,2S 1803-245,LMXB,0
271.7125,-24.585,J1806-246       ,2S 1803-245,LMXB,0
272.11475,-36.97897222,J1808.4-3658    ,V* V4580 Sgr,LMXB,1
272.675,-10.86666667, 1807-10        ,4U 1807-10,HMXB,0
272.6854167,-26.15027778,J1810.8-2609    ,V* V4722 Sgr,LMXB,0
273.6295833,-17.15722222, 1811-171       ,V* V5512 Sgr,LMXB,0
273.8,-12.08333333, 1812-12        ,4U 1812-12,LMXB,0
274.0058333,-14.03638889, 1813-140       ,V* NP Ser,LMXB,1
275.1229167,-14.57333333,J1820.5-1434    ,4FGL J1821.1-1422,HMXB,0
275.9191667,-30.36138889, 1820-303       ,X Sgr X-4,LMXB,0
276.3420833,-0.01222222, 1822-000       ,4U 1823-00,LMXB,0
276.445,-37.10527778, 1822-371       ,V* V691 CrA,LMXB,0
276.5620833,-14.84138889,J1826.2-1450    ,V* V479 Sct,HMXB,0
277.3625,-23.79138889, 1826-238       ,V* V4634 Sgr,LMXB,0
278.9333333,-32.98194444, 1832-330       ,[ZGV2011] 4,LMXB,0
279.9895833,5.03583333, 1837+049       ,V* MM Ser,LMXB,0
280.425,-5.85, 1839-06        ,1RXS J184135.3-055032,HMXB,0
280.45,-4.45, 1839-04        ,Ginga 1839-04,HMXB,0
281.375,0.95, 1843+009       ,2MASS J18453684+0051474,HMXB,0
282.07375,-2.42027778, 1845-024       ,4U 1850-03,HMXB,0
282.32125,-3.06222222, 1846-031       ,EXO 1846-031,LMXB,0
283.2704167,-8.70555556, 1850-087       ,4U 1850-086,LMXB,0
283.925,-2.61666667,J1855-026       ,2MASS J18553040-0236167,HMXB,0
284.1625,5.33,J1856+053       ,INTREF   948,LMXB,0
284.65,3.35,J1858+034       ,XTE J1858+034,HMXB,0
284.67325,22.65816667,J1859+226       ,V* V406 Vul,HMXB,0
286.3333333,9.04166667,J1906+09        ,XTE J1906+090,HMXB,0
287.1125,0.16888889, 1905+000       ,4U 1857+01,LMXB,0
287.4079167,9.83027778, 1907+097       ,4U 1907+09,HMXB,0
287.8166667,0.585, 1908+005       ,X Aql X-1,LMXB,0
287.9566667,4.98277778, 1909+048       ,SS 433,HMXB,0
288.8208333,10.96833333, 1915+105       ,Granat 1915+105,HMXB,1
289.7,-5.23583333, 1916-053       ,V* V1405 Aql,LMXB,0
290.0708333,14.69416667, 1918+146       ,4U 1918+15,LMXB,0
295.6583333,-3.9, 1940-04        ,INTREF   989,LMXB,0
296.4083333,27.36055556,J1946+274       ,XTE J1946+274,HMXB,0
297.3983333,30.20861111, 1947+300       ,2MASS J19493548+3012317,HMXB,0
298.9304167,32.10083333, 1954+319       ,4U 1954+31,HMXB,0
299.5904167,35.20166667, 1956+350       ,HD 226868,HMXB,0
299.85,11.70833333, 1957+115       ,V* V1408 Aql,LMXB,0
300.7066667,25.23666667, 2000+251       ,V* QZ Vul,HMXB,0
303.1575,38.18363889,J2012+381       ,INTREF  1012,LMXB,0
306.0158333,33.86777778, 2023+338       ,V* V404 Cyg,HMXB,0
307.6275,47.86277778,J2030.5+4751    ,BD+47  3129,HMXB,0
308.06375,37.6375, 2030+375       ,V* V2246 Cyg,HMXB,1
308.1070833,40.95777778, 2030+407       ,V* V1521 Cyg,HMXB,1
314.75,41.71666667,J2058+42        ,GRO J2058+42,HMXB,0
315.8875,45.75,J2103.5+4545    ,GSC 03588-00834,HMXB,0
320.8105833,-5.79802778,J2123-058       ,V* LZ Aqr,LMXB,0
322.4929167,12.1675, 2127+119       ,4U 2129+12,LMXB,0
322.8591667,47.29, 2129+470       ,V* V1727 Cyg,LMXB,0
324.8916667,57.06, 2138+568       ,V* V490 Cep,HMXB,0
326.1716667,38.32166667, 2142+380       ,V* V1341 Cyg,LMXB,1
330.4091667,50.16777778, 2202+501       ,BD+49  3718,HMXB,0
331.9875,54.51833333, 2206+543       ,BD+53  2790,HMXB,0
339.8370833,61.27411111,J2239.3+6116    ,4U 2238+60,HMXB,0
350.1420833,62.2925, 2318+620       ,4U 2316+61,LMXB,0
